"filename", "language", "CSS", "Svelte", "TypeScript", "JSON", "JavaScript", "HTML", "pip requirements", "Shell Script", "Python", "Batch", "Ini", "Ignore", "comment", "blank", "total"
"c:\Users\Administrator\open-webui\src\lib\components\channel\Messages\Message.svelte", "Svelte", 0, 313, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29, 344
"c:\Users\Administrator\open-webui\src\lib\components\channel\Messages\Message\ProfilePreview.svelte", "Svelte", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 86
"c:\Users\Administrator\open-webui\src\lib\components\channel\Messages\Message\ReactionPicker.svelte", "Svelte", 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 167
"c:\Users\Administrator\open-webui\src\lib\components\channel\Navbar.svelte", "Svelte", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 87
"c:\Users\Administrator\open-webui\src\lib\components\channel\Thread.svelte", "Svelte", 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 205
"c:\Users\Administrator\open-webui\src\lib\components\chat\Artifacts.svelte", "Svelte", 0, 288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 323
"c:\Users\Administrator\open-webui\src\lib\components\chat\Chat.svelte", "Svelte", 0, 1829, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 290, 2120
"c:\Users\Administrator\open-webui\src\lib\components\chat\ChatControls.svelte", "Svelte", 0, 247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35, 283
"c:\Users\Administrator\open-webui\src\lib\components\chat\ChatPlaceholder.svelte", "Svelte", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 141
"c:\Users\Administrator\open-webui\src\lib\components\chat\ContentRenderer\FloatingButtons.svelte", "Svelte", 0, 298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 340
"c:\Users\Administrator\open-webui\src\lib\components\chat\Controls\Controls.svelte", "Svelte", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 100
"c:\Users\Administrator\open-webui\src\lib\components\chat\Controls\Valves.svelte", "Svelte", 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 214
"c:\Users\Administrator\open-webui\src\lib\components\chat\MessageInput.svelte", "Svelte", 0, 1230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 1388
"c:\Users\Administrator\open-webui\src\lib\components\chat\MessageInput\CallOverlay.svelte", "Svelte", 0, 856, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 139, 996
"c:\Users\Administrator\open-webui\src\lib\components\chat\MessageInput\CallOverlay\VideoInputMenu.svelte", "Svelte", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 52
"c:\Users\Administrator\open-webui\src\lib\components\chat\MessageInput\Commands.svelte", "Svelte", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 125
"c:\Users\Administrator\open-webui\src\lib\components\chat\MessageInput\Commands\Knowledge.svelte", "Svelte", 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 33, 322
"c:\Users\Administrator\open-webui\src\lib\components\chat\MessageInput\Commands\Models.svelte", "Svelte", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 107
